"","x"
"157","Fyi @TheKateMulgrew @UzoAduba @LauraPrepon @TaySchilling @Lavernecox @nlyonne @TarynManning @realleadelaria‚Ä¶ https://t.co/uXuCh4vknv"
"158","@FM97 Totally sucks he wont be in any more seasons. Wont be the same without him and his evil plans but claire will‚Ä¶ https://t.co/p4JLwMbl9p"
"159","@ThusSpakeSmith @CNN @KevinSpacey @davidfincher Well, unfortunately, thats not how people are wired. When they know‚Ä¶ https://t.co/s6eRyB983z"
"160","@abrahamfrost7 @CNN @KevinSpacey Maybe I've been out of the loop a bit and missed something but that sounds like a‚Ä¶ https://t.co/5akNMM9zaO"
"161","#HouseOfCards without @KevinSpacey !?!?!? What is that?!?!? The world is horrible already!!!! Ì†ΩÌ∏±Ì†ΩÌ∏±Ì†ΩÌ∏±Ì†ΩÌ∏±Ì†ΩÌ∏©Ì†ΩÌ∏©Ì†ΩÌ∏©Ì†ΩÌ∏©"
"162","C'mon guys, what are you waiting to unfollow her? Rape is rape, no matter the gender, and it's disgusting. Oh, and‚Ä¶ https://t.co/nvjUp6Sy3b"
"163","The fact @KevinSpacey is in the movie doesn't mean anything at all right? https://t.co/igaeImAt11"
"164","@BonnieWashing14 @RWPUSA @BillClinton @KevinSpacey Agree. What other possible reason for anyone to be on that plane‚Ä¶ https://t.co/SUUZVBdu0f"
"165","@SicilianActress @psychmajor_mom @KevinSpacey pork butt"
"166","@VICE The Usual Suspects and Seven both surprise endings are now ruined-thanks to @KevinSpacey. It would be cool is‚Ä¶ https://t.co/XXFr3oHGar"
"167","@JoseNotHoSay @the1whoknock5 @THR I am going to miss @KevinSpacey; he and @RealRobinWright  worked so well together. Fantastic show!"
"168","Wait so they took my all time favorite actor off this show @KevinSpacey #KevinSpacey https://t.co/SiwICe646P"
"169",".@POTUS 'birds of a feather' @realDonaldTrump &amp; @MooreSenate in #Trumps own words. Wonder how much more‚Ä¶ https://t.co/FMd2ez2nDB"
"170","Don‚Äôt forget: @KevinSpacey is @HouseofCards"
"171","#HouseOfCards just removed @KevinSpacey like the #TaxBill2017 removed middle class from America.

#TaxReformBill‚Ä¶ https://t.co/Y36gW0tkDp"
"172","@exitoina @netflix @KevinSpacey GeniaÌ†ΩÌ±åÌ†ΩÌ±å"
"173","@VanityFair I truly hope #RobinWright did not know about @KevinSpacey  I hope she‚Äôs not an enabler."
"174","I absolutely love this show, especially because it‚Äôs loosely based off the corrupt Clinton crime family! This idiot‚Ä¶ https://t.co/lpMaK5VckB"
"175","@HouseofCards without @KevinSpacey ? Shame! @netflix"
"176",".@KevinSpacey is still verified."
"177","@netflix has me super confused. @KevinSpacey fired for credible accusations, @dannymasterson kept on despite credib‚Ä¶ https://t.co/sDi2sCgFFX"
"178","Looks like @netflix will finish up the sixth (and final) season of @HouseofCards after all, just without‚Ä¶ https://t.co/Jlm39DbkbK"
"179","Gabriel Byrne says filming of ""The Usual Suspects"" was suspended for two days over @KevinSpacey being ‚Äúaccused of s‚Ä¶ https://t.co/dL0yo9OszU"
"180","If I have to unfollow all that have been accused of sexual misconduct; I might as well delete my account.‚Ä¶ https://t.co/KTfzk8vOc2"
"181","@shoshido @drawandstrike @DanaBrunetti @KevinSpacey Pretty sure Spacey should be in jail."
"182","@ThusSpakeSmith @CNN @KevinSpacey @davidfincher Too bad he raped someone."
"183","Ya think that was mistake -they cld hv just easy wrote historical account @KevinSpacey character demise-cld hv bn f‚Ä¶ https://t.co/dofet12n7a"
"184","@thunderbrd1 @CNN @KevinSpacey Bad decisions like rape. Rape is a pretty bad decision."
"185","I'm still pissed that House of Cards is continuing without @KevinSpacey . If you are going to accuse someone and wr‚Ä¶ https://t.co/Z7ZCuvPWL7"
"186","The Usual Suspects is now ruined for a lifetime. @KevinSpacey is a disgrace. 
EVERYONE must speak OUT about‚Ä¶ https://t.co/LH9pAp0CoN"
"187","It‚Äôs Claire Undrwood‚Äôs turn: ‚ÄòHouse of Cards‚Äô to resume production ‚Äî without @KevinSpacey https://t.co/xpbEnek2Pe @AFP"
"188","'@HouseofCards' final season to resume without @KevinSpacey https://t.co/mTP5zsoWwb"
"189",".@KevinSpacey and .@charlierose were quick to issue statements on #socialmedia - but their current silence is deafening. GRRRR."
"190","@netflix @NetflixUK @NetflixMENA @Netflixhelps @NetflixIndia house of cards is still in production? Without‚Ä¶ https://t.co/vqinEoVSiP"
"191","SO glad to be getting some sort of closure, but @HouseofCards is just not House Of Cards without @KevinSpacey Ì†ΩÌ∏•"
"192","@chrislhayes Reading an old tweet in bad faith to then vilify is kind of like listening to an old tape from 2005 of‚Ä¶ https://t.co/mA8ve8UzDp"
"193","@hopefulleonard @Lesism @aparnapkin Muppets or Drinks with @KevinSpacey - either way you're getting a few fingers in your ass"
"194","@styledomination @RobinWright @KevinSpacey I wonder how they're going to kill him off? Some sort of #metoo type of‚Ä¶ https://t.co/bAXWtFc1VJ"
"195","@toledoplayer @UMichFootball @CoachJim4UM @KirkHerbstreit @peeweeherman @KevinSpacey @FlaPanthers @DesmondHoward‚Ä¶ https://t.co/DL9ajZ4OnV"
"196","And it will be the last season because consumers have zero tolerance for that show without @KevinSpacey‚Ä¶ https://t.co/B0ajEvCgHJ"
"197","@GlobalNational @netflix @KevinSpacey he's an actor let him act unless you charge him with a crime he's innocent so let him act .."
"198","House of Cards sin @KevinSpacey no tiene chiste."
"199","@netflix No @KevinSpacey in the last #HouseOfCards season?
U gotta be kiddin'"
"200","@KevinSpacey Tba I think he is telling lies all them things come out and now everyone is saying stuff it's cos some‚Ä¶ https://t.co/Yp8tTsGJai"
"201","Damn @KevinSpacey  is the Dude though! #FuckYou  Netflix https://t.co/2QYOqnL5TS"
"202","@earlofSpeyer @netflix @SPIEGELONLINE @HouseofCards without @KevinSpacey ? Are you kidding me @netflix ? Kevin Spac‚Ä¶ https://t.co/S3hhZHLXBY"
"203","@lacapital @KevinSpacey House of Cards sin Spacey es como un Fernet Branca con Manaos. No existe"
"204","@netflix why are you going to release the last season of #HouseOfCards without @KevinSpacey ?? Ì†ΩÌ∏ëÌ†ΩÌ∏ëÌ†ΩÌ∏ë  is like a taco but without meat"
"205","It was supposed to be focusing on @KevinSpacey ousting @RealRobinWright ughhhhhh you guys have fllippin ruined it g‚Ä¶ https://t.co/bftwB6Dnj8"
"206","You know I honestly think the time has come.  People have been so disgusted by @realDonaldTrump @MooreSenate‚Ä¶ https://t.co/wuGSEeCzhw"
"207","@tg0326 @UMichFootball @CoachJim4UM @KirkHerbstreit @peeweeherman @KevinSpacey @FlaPanthers @DesmondHoward‚Ä¶ https://t.co/2kGfJ9ssuE"
"208","I need to get back into #HouseOfCards just so I can enjoy the innuendos directed @KevinSpacey."
"209","@toledoplayer @UMichFootball @CoachJim4UM @KirkHerbstreit @peeweeherman @KevinSpacey @FlaPanthers @DesmondHoward‚Ä¶ https://t.co/dlAvDc6Ct4"
"210","What if @RealRobinWright pushed to leak @KevinSpacey details &amp; we are a season of #HOC"
"211","@loubielou32 @KevinSpacey Now let's see Trump go down. This I would pay to see. Mr. Pussy grabber sm fingered goof!‚Ä¶ https://t.co/fFkBUh0tnr"
"212","@loubielou32 @KevinSpacey Sorry about that. It's their turn (I meant to type) Oops!!"
"213","@loubielou32 @KevinSpacey I have lived long enough to know that 1 in 2 women will b assaulted in their lives. I'm h‚Ä¶ https://t.co/pcREzu0JTU"
"214","@billmaher Bill I clicked on the link and all I got were pictures of @KevinSpacey with a bunch of boys. https://t.co/Xr8ZpN8EcV"
"215","This is my favorite GIF of Jim Harbaugh. @UMichFootball @CoachJim4UM @KirkHerbstreit @peeweeherman @KevinSpacey‚Ä¶ https://t.co/9iEaopZ9OV"
"216","@DaveBuckloe @KevinSpacey Where's Chris Hanson when you need him?  Perverted Justice should do a piece on Kevin Spa‚Ä¶ https://t.co/koYKDk1ULj"
"217","@JoshLeCash @KevinSpacey Good job? https://t.co/LqN3vV0FCu"
"218","@KevinSpacey Called it https://t.co/QMco4xmBJe"
"219","I hate that women who are brave enough to tell their story are humiliated by the press and their persecutors again‚Ä¶ https://t.co/AhYc4rYKim"
"220","@ChasingSpacey @chloethepooch01 @HouseofCards @netflix  I agree with all you. @KevinSpacey is  House of CardsÌ†ºÌ≥è. #IwillnotwatchHouseofCards"
"221","@HouseofCards w/o @KevinSpacey? WTF?  #censorship  #who'snext #himtoo #sexualblacklist"
"222","@netflix just announced that @KevinSpacey will not be in Season 6 of #HouseOfCards , that's just like a man without his dick ."
"223","@netflix hey ! I need to know if you guys are going to do anything about @dannymasterson ? Cause if not, I gotta qu‚Ä¶ https://t.co/zMywWsMKct"
"224","House of Cards season 6 will star Robin Wright in the lead.
@KevinSpacey why couldn't you keep your ding dong in yo‚Ä¶ https://t.co/epfnMbJifz"
"225","@KevinSpacey, Frank Underwood, will not be in season 6 of @HouseofCards. Gonna be weird watching this show without him."
"226","@WarriorforKids @Ambient2017 @Gruvedawg @OpenThePrimary @CarrieanneTX @TraffickReport2 @TheHoneybee_ @brittswoo‚Ä¶ https://t.co/RfdSRz69v8"
"227","Anyone else really annoyed @KevinSpacey for mucking up the end of #houseofcards ? - obv the issue is bigger than a season but still :("
"228","@KevinSpacey As dr Phil says ,no matter how flat you make a pancake , there‚Äôs 2 sides to a story"
"229","@netflix will NOT be watching @HouseofCards without @KevinSpacey"
